21:08:20.756 INFO [qtp1805067756-83]: Updated Metadata information for placement ( 1004 on 6 )
21:24:14.794 INFO [qtp1805067756-198]: Updated Metadata information for placement ( 1004 on 7 )
21:25:15.059 WARN [HttpDispatcher-124]: There is a running transaction associated with this connection org.polypheny.db.avatica.PolyphenyDbConnectionHandle@d1193eb9
21:25:15.059 WARN [HttpDispatcher-124]: Rollback transaction org.polypheny.db.transaction.TransactionImpl@8c686e11
21:25:47.047 INFO [pool-7-thread-1]: Queue --> 0 
21:25:47.209 INFO [pool-7-thread-1]: Queue --> 0 
21:25:47.345 INFO [pool-7-thread-1]: Queue --> 1 
21:25:47.411 INFO [pool-7-thread-1]: Queue --> 0 
21:25:47.528 INFO [pool-7-thread-1]: Queue --> 0 
21:25:47.740 INFO [pool-7-thread-1]: Queue --> 1 
21:25:47.830 INFO [pool-7-thread-1]: Queue --> 1 
21:25:47.909 INFO [pool-7-thread-1]: Queue --> 1 
21:25:47.975 INFO [pool-7-thread-1]: Queue --> 0 
21:25:48.116 INFO [pool-7-thread-1]: Queue --> 1 
21:25:48.182 INFO [pool-7-thread-1]: Queue --> 0 
21:25:48.383 INFO [pool-7-thread-1]: Queue --> 1 
21:25:48.483 INFO [pool-7-thread-1]: Queue --> 1 
21:25:48.568 INFO [pool-7-thread-1]: Queue --> 1 
21:25:48.635 INFO [pool-7-thread-1]: Queue --> 0 
21:25:48.743 INFO [pool-7-thread-1]: Queue --> 0 
21:25:48.876 INFO [pool-7-thread-1]: Queue --> 0 
21:25:48.979 INFO [pool-7-thread-1]: Queue --> 0 
21:25:49.162 INFO [pool-7-thread-1]: Queue --> 1 
21:25:49.262 INFO [pool-7-thread-1]: Queue --> 1 
21:25:49.341 INFO [pool-7-thread-1]: Queue --> 1 
21:25:49.406 INFO [pool-7-thread-1]: Queue --> 0 
21:25:49.514 INFO [pool-7-thread-1]: Queue --> 0 
21:25:49.690 INFO [pool-7-thread-1]: Queue --> 1 
21:25:49.784 INFO [pool-7-thread-1]: Queue --> 1 
21:25:49.866 INFO [pool-7-thread-1]: Queue --> 1 
21:25:49.931 INFO [pool-7-thread-1]: Queue --> 0 
21:25:50.037 INFO [pool-7-thread-1]: Queue --> 0 
21:25:50.163 INFO [pool-7-thread-1]: Queue --> 0 
21:25:50.297 INFO [pool-7-thread-1]: Queue --> 0 
21:25:50.430 INFO [pool-7-thread-1]: Queue --> 1 
21:25:50.494 INFO [pool-7-thread-1]: Queue --> 0 
21:25:50.684 INFO [pool-7-thread-1]: Queue --> 1 
21:25:50.776 INFO [pool-7-thread-1]: Queue --> 1 
21:25:50.855 INFO [pool-7-thread-1]: Queue --> 1 
21:25:50.918 INFO [pool-7-thread-1]: Queue --> 0 
21:25:51.087 INFO [pool-7-thread-1]: Queue --> 1 
21:25:51.185 INFO [pool-7-thread-1]: Queue --> 1 
21:25:51.255 INFO [pool-7-thread-1]: Queue --> 0 
21:25:51.419 INFO [pool-7-thread-1]: Queue --> 1 
21:25:51.512 INFO [pool-7-thread-1]: Queue --> 1 
21:25:51.592 INFO [pool-7-thread-1]: Queue --> 1 
21:25:51.656 INFO [pool-7-thread-1]: Queue --> 0 
21:25:51.832 INFO [pool-7-thread-1]: Queue --> 1 
21:25:51.930 INFO [pool-7-thread-1]: Queue --> 1 
21:25:52.025 INFO [pool-7-thread-1]: Queue --> 1 
21:25:52.118 INFO [pool-7-thread-1]: Queue --> 0 
21:25:52.165 INFO [pool-7-thread-1]: Queue --> 0 
